Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,101.094929920886,100.476265721036,103.254202331086,99.0784443357126,99.4598389068067,92.6027850428629,89.7737769801677,..
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.43831058242286,4.6542465771763,4.54656544022227,4.33203777048311,4.53820916606831,4.61170757520736,4.62039281529307,..
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,96.6566193384628,95.8220191438596,98.7076368908636,94.7464065652295,94.9216297407384,87.9910774676555,85.1533841648746,..
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,50.467,50.978,49.999,45.078,37.952,34.065,..,..
Afghanistan,AFG,Completeness of birth registration (%),SP.REG.BRTH.ZS,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,..,..,..,..,..,..,..,..
Afghanistan,AFG,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.315,13.913,12.307,10.55,8.684,7.845,..,..
Afghanistan,AFG,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,..,..,..,..,..,..,..,..
Afghanistan,AFG,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,48.0651697069087,47.7971887590906,48.5636389106859,47.5924989676207,47.5893444319327,45.6852570683615,44.8709961512615,..
